city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Lazdynėliai;Lazdynėlių g.;"Price decreased 1,5%
199 000 € (2 632 €/m²)";12;;75,6 m²;3;3;4;2008;Brick;Central thermostat;Fully equipped;;;;;;540 m;1,1 km;300 m;210 m;"58,21 €/month
~ 0,77 €/m²";;
Vilnius;Justiniškės;Rygos g.;"Price decreased 2,9%
132 000 € (1 941 €/m²)";9;;68 m²;3;5;9;1984;Block house;Central;Fully equipped;B;High ceiling Separate bathroom and WC New sewage system Cable television;Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;280 m;290 m;210 m;260 m;"91,12 €/month
~ 1,34 €/m²";;
Vilnius;Šeškinė;Buivydiškių g.;"Price decreased 1%
98 000 € (2 882 €/m²)";36;;34 m²;2;4;5;1986 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;;Two-floor flat New sewage system New electrical installation Kitchen merged with room;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock;220 m;350 m;250 m;90 m;6;;
Vilnius;Senamiestis;Antano Tumėno g.;"Price increased 0,2%
2 155 000 € (8 552 €/m²)";4;;252 m²;4;16;18;2007;Monolithic;Central thermostat;Fully equipped;;Private entrance High ceiling New sewage system New electrical installation Cable television Kitchen merged with room;Storeroom Balcony Terrace Sauna Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Shower Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance Guard;420 m;180 m;270 m;140 m;5;;
Vilnius;Lazdynai;Architektų g.;129 000 € (2 115 €/m²);89;;61 m²;3;1;5;1971;Block house;Central;Fully equipped;;;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Alarm system Code door lock;350 m;80 m;130 m;50 m;"70,76 €/month
~ 1,16 €/m²";;
Vilnius;Naujininkai;Rudaminos g.;"Price decreased 4,2%
114 900 € (1 802 €/m²)";5;;63,76 m²;3;5;5;1992;Brick;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar;;Steel doors Code door lock;80 m;320 m;260 m;90 m;"74,60 €/month
~ 1,17 €/m²";;
Vilnius;Justiniškės;Rygos g.;187 000 € (3 503 €/m²);6;;53,39 m²;2;4;9;2010;Block house;Central thermostat;Fully equipped;;;;;;190 m;230 m;180 m;270 m;"36,84 €/month
~ 0,69 €/m²";;
Vilnius;Naujamiestis;T. Ševčenkos g.;225 000 € (4 061 €/m²);21;;55,4 m²;3;2;4;1960 construction, 2023 renovation;Brick;Central thermostat;Partially equipped;;;;;;190 m;120 m;270 m;190 m;16;;
Vilnius;Šiaurės miestelis;Žygio g.;"Price decreased 5,6%
102 000 € (3 690 €/m²)";3;;27,64 m²;1;7;9;1969;Brick;Central;Fully equipped;;;;;;300 m;350 m;150 m;70 m;"44,22 €/month
~ 1,60 €/m²";;
Vilnius;Šnipiškės;Kalvarijų g.;179 000 € (2 603 €/m²);166A;;68,76 m²;2;4;9;2007;Brick;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Terrace;Washing machine Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;210 m;150 m;280 m;40 m;"59,13 €/month
~ 0,86 €/m²";;
Vilnius;Lazdynėliai;Jonažolių g.;"Price decreased 0,5%
184 679 € (3 184 €/m²)";7;;58 m²;2;1;6;2009;Brick;Central thermostat;Fully equipped;;Separate bathroom and WC Internet Kitchen merged with room;Terrace;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;370 m;660 m;180 m;230 m;"34,80 €/month
~ 0,60 €/m²";;
Vilnius;Žvėrynas;Kęstučio g.;78 000 € (2 032 €/m²);35;;38,39 m²;2;1;2;1940;Wooden house;Gas;Fully equipped;;Private entrance High ceiling Private yard Cable television;Storeroom Cellar Parking space;;;200 m;420 m;40 m;90 m;1;;
Vilnius;Senamiestis;Seinų g.;788 573 € (7 150 €/m²);4;;110,29 m²;4;2;4;2026;Brick;Central thermostat;Partially equipped;A++;Has elevator High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;Balcony;Floor heating system;Steel doors Code door lock Video surveillance;190 m;150 m;90 m;80 m;48;;
Vilnius;Justiniškės;Rygos g.;"Price decreased 4%
120 000 € (2 514 €/m²)";46;41;47,74 m²;2;4;6;2021;Brick;Central thermostat;Partially equipped;;;;;;220 m;320 m;200 m;230 m;"27,21 €/month
~ 0,57 €/m²";;
Vilnius;Senamiestis;Žygimantų g.;339 500 € (7 000 €/m²);12;221;48,5 m²;2;2;5;2025;Monolithic;Central thermostat;Not equipped;A+;High ceiling Private yard;Storeroom Balcony Cellar Parking space;;Alarm system Video surveillance Guard;300 m;250 m;240 m;230 m;28;;
Vilnius;Pašilaičiai;Leičių g.;170 000 € (1 772 €/m²);21;37;95,92 m²;4;1;9;2024;Brick;Central thermostat;Partially equipped;;;;;;270 m;630 m;220 m;160 m;18;;
Vilnius;Senamiestis;Šv. Stepono g.;"Price decreased 10,9%
217 000 € (4 340 €/m²)";11;;50 m²;2;3;4;1975;Brick;Central;Fully equipped;;Separate bathroom and WC Internet;Balcony;Furniture Kitchen furniture Shower;Steel doors Code door lock;120 m;140 m;140 m;180 m;43;;
Vilnius;Naujininkai;Panevėžio g.;"Price decreased 1,5%
133 000 € (2 446 €/m²)";34;;54,38 m²;2;1;5;1986;Brick;Central;Fully equipped;;Separate bathroom and WC New sewage system Internet;Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove;Steel doors Code door lock;240 m;150 m;250 m;200 m;"63,62 €/month
~ 1,17 €/m²";;
Vilnius;Antakalnis;Antakalnio g.;"Price decreased 1,7%
169 900 € (2 701 €/m²)";32;;62,91 m²;3;1;6;1987;Brick;Central;Fully equipped;;Private entrance Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors;530 m;150 m;340 m;180 m;"75,49 €/month
~ 1,20 €/m²";;
Vilnius;Senamiestis;Bazilijonų g.;299 000 € (6 161 €/m²);3;;48,53 m²;2;3;4;2021;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;120 m;150 m;10 m;50 m;"45,62 €/month
~ 0,94 €/m²";;
Vilnius;Naujamiestis;Pakalnės g.;"Price decreased 10%
388 900 € (4 703 €/m²)";2;10;82,7 m²;3;2;5;2023;Monolithic;Central thermostat;Partially equipped;A++;Has elevator New sewage system New electrical installation Private yard Kitchen merged with room;Balcony Terrace;Floor heating system Recuperation;Steel doors Alarm system Code door lock Video surveillance;350 m;230 m;290 m;180 m;8;;
Vilnius;Justiniškės;Taikos g.;"Price increased 0,8%
112 400 € (1 678 €/m²)";113;;67 m²;3;4;9;1985;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;110 m;240 m;110 m;60 m;"76,38 €/month
~ 1,14 €/m²";;
Vilnius;Valakampiai;Nugalėtojų g.;295 000 € (3 782 €/m²);;;78 m²;3;2;3;2024;Brick;Liquid;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Terrace Cellar Parking space;Conditioner Furniture Floor heating system Plastic pipes Shower;Steel doors Alarm system Code door lock Video surveillance;880 m;1,2 km;190 m;220 m;2;;
Vilnius;Baltupiai;Baltupio g.;"Price decreased 2,6%
229 000 € (3 817 €/m²)";65;;60 m²;2;7;7;2023;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock;200 m;340 m;250 m;220 m;6;;
Vilnius;Lazdynai;Žėručio g.;"Price increased 4,2%
125 000 € (2 049 €/m²)";3;;61 m²;3;1;5;1970;Block house;Central;Fully equipped;;;;;;260 m;180 m;330 m;80 m;"56,12 €/month
~ 0,92 €/m²";;
Vilnius;Antakalnis;Duburio g.;139 900 € (2 439 €/m²);10;13;57,37 m²;2;3;4;2022;Block house;Gas;Partially equipped;;;;;;1,7 km;1,6 km;1,3 km;450 m;0;;
Vilnius;Lazdynėliai;Lazdynėlių g.;119 900 € (2 656 €/m²);67;;45,15 m²;2;1;4;2022;Brick;Central thermostat;Partially equipped;;;;;;270 m;1,7 km;380 m;370 m;0;;
Vilnius;Senamiestis;Sodų g.;599 000 € (4 730 €/m²);6A;;126,65 m²;4;3;4;2022;Brick;Central thermostat;Partially equipped;A;High ceiling Two-floor flat New sewage system New electrical installation Private yard;Balcony Attic;Floor heating system;Steel doors Code door lock;190 m;250 m;190 m;170 m;50;;
Vilnius;Šiaurės miestelis;V. Nagevičiaus g.;129 000 € (3 437 €/m²);1;;37,53 m²;2;1;5;2005;Brick;Central thermostat;Fully equipped;;;Cellar;;;220 m;90 m;310 m;290 m;13;;
Vilnius;Naujininkai;Darbininkų g.;102 000 € (2 050 €/m²);;;49,75 m²;2;2;5;1978;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet;;Washing machine Furniture Kitchen furniture Stove Plastic pipes Shower;;230 m;150 m;120 m;180 m;12;;
Vilnius;Naujininkai;Kapsų g.;56 500 € (2 260 €/m²);;;25 m²;1;2;5;1977;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet;;Washing machine Furniture Kitchen furniture Stove Plastic pipes Shower;;270 m;300 m;160 m;410 m;4;;
Vilnius;Santariškės;Santariškių g.;"Price decreased 3%
160 000 € (3 596 €/m²)";43;;44,5 m²;2;2;3;2007;Brick;Central thermostat;Fully equipped;A+;High ceiling Cable television Internet New sewage system New electrical installation Kitchen merged with room;Parking space Balcony Closet;Furniture Plastic pipes Washing machine Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;130 m;2 km;260 m;220 m;2;;
Vilnius;Antakalnis;Peteliškių g.;"Price increased 1%
193 000 € (2 969 €/m²)";12;;65 m²;3;1;5;1979;Brick;Central;Fully equipped;;;;;;560 m;220 m;100 m;160 m;4;;
Vilnius;Naujamiestis;Pakalnės g.;"Price decreased 21%
499 800 € (4 377 €/m²)";2;;114,19 m²;3;0;5;2023;Monolithic;Central thermostat;Partially equipped;A++;New sewage system New electrical installation Private yard Kitchen merged with room;Balcony Terrace;Floor heating system Recuperation;Steel doors Code door lock Video surveillance;350 m;230 m;290 m;180 m;8;;
Vilnius;Baltupiai;Baltupio g.;119 000 € (1 857 €/m²);47;;64,08 m²;3;8;9;1978;Block house;Central;Fully equipped;;Has elevator Separate bathroom and WC Internet Cable television;Storeroom Balcony;Washing machine Refrigerator Kitchen furniture Stove Bath;Code door lock;160 m;330 m;110 m;140 m;"84,59 €/month
~ 1,32 €/m²";;
Vilnius;Žirmūnai;Minties g.;111 800 € (2 422 €/m²);;;46,16 m²;2;5;5;1967;Block house;Central;Fully equipped;;;Balcony Cellar Closet;Furniture Washing machine;Steel doors Code door lock;130 m;340 m;180 m;100 m;"59,08 €/month
~ 1,28 €/m²";;
Vilnius;Rasos;Tyzenhauzų g.;29 000 € (1 933 €/m²);19B;;15 m²;1;2;3;1958;Brick;Central;Fully equipped;;High ceiling;;Furniture Refrigerator Stove;;450 m;390 m;170 m;280 m;11;;
Vilnius;Žvėrynas;Elnių g.;"Price decreased 1,6%
300 000 € (3 842 €/m²)";20;;78,08 m²;2;1;4;2015;Brick;Central thermostat;Fully equipped;B;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Alarm system Code door lock Video surveillance;150 m;430 m;260 m;210 m;"52,31 €/month
~ 0,67 €/m²";;
Vilnius;Senamiestis;Maironio g.;413 000 € (5 473 €/m²);27;;75,46 m²;3;2;3;1940;Brick;Gas;Fully equipped;;;;;;420 m;90 m;230 m;190 m;27;;
Vilnius;Pašilaičiai;Girulių g.;"Price decreased 3,9%
149 900 € (2 359 €/m²)";12;;63,54 m²;3;8;9;2008;Block house;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space Closet;Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors;50 m;870 m;30 m;200 m;"37,49 €/month
~ 0,59 €/m²";;
Vilnius;Naujamiestis;Vytenio g.;189 000 € (4 697 €/m²);63A;;40,24 m²;2;3;6;2020;Brick;Central thermostat;Fully equipped;A+;Has elevator Private yard Kitchen merged with room;Balcony Parking space Closet;Washing machine Refrigerator Stove;Code door lock;510 m;240 m;220 m;30 m;"17,30 €/month
~ 0,43 €/m²";;
Vilnius;Karoliniškės;Igno Šimulionio g.;"Price decreased 2,6%
229 000 € (3 919 €/m²)";3;11;58,44 m²;3;3;4;2015;Brick;Central thermostat;Fully equipped;;;;;;620 m;110 m;260 m;400 m;9;;
Vilnius;Naujininkai;Meistrų g.;35 000 € (1 400 €/m²);8;;25 m²;1;2;4;1981 construction, 2024 renovation;Brick;Gas;Partially equipped;B;High ceiling Private yard;Parking space;;Steel doors Code door lock Video surveillance;1 km;1,5 km;1,7 km;110 m;0;;
Vilnius;Naujamiestis;Naugarduko g.;122 000 € (2 726 €/m²);68;;44,76 m²;2;2;2;1940;Brick;Central;Other;;Private entrance High ceiling Private yard Kitchen merged with room;Cellar Parking space;;;180 m;90 m;380 m;50 m;15;;
Vilnius;Kalnėnai;Azerų g.;176 000 € (1 973 €/m²);18;;89,21 m²;4;1;2;2023;Brick;Aerothermal, gas;Partially equipped;A+;Private entrance High ceiling Two-floor flat Private yard Internet Kitchen merged with room;Terrace Parking space;;Steel doors;1,8 km;1,7 km;1,6 km;560 m;0;;
Vilnius;Lazdynai;Erfurto g.;"Price decreased 6,4%
117 000 € (1 872 €/m²)";;;62,5 m²;3;4;12;1970;Block house;Central;Fully equipped;;Has elevator;Balcony;;Steel doors Code door lock Video surveillance;340 m;250 m;160 m;100 m;7;;
Vilnius;Lazdynai;Bukčių g.;139 800 € (2 035 €/m²);11;;68,7 m²;2;1;5;1996;Brick;Central;Fully equipped;;;;;;470 m;950 m;230 m;50 m;0;;
Vilnius;Senamiestis;Šv. Stepono g.;"Price decreased 4,5%
190 000 € (4 543 €/m²)";;;41,82 m²;2;1;3;1940;Brick;Gas;Fully equipped;;Kitchen merged with room;Terrace Cellar Closet;Furniture Washing machine;Steel doors Code door lock;90 m;140 m;140 m;180 m;43;;
Vilnius;Pilaitė;Tvankstos g.;125 000 € (3 906 €/m²);;;32 m²;1;4;6;2019;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower Recuperation;Steel doors Code door lock Video surveillance;210 m;460 m;220 m;190 m;"11,20 €/month
~ 0,35 €/m²";;
Vilnius;Karoliniškės;Algimanto Petro Kavoliuko g.;114 900 € (2 108 €/m²);22;;54,5 m²;2;5;9;1975;Block house;Central;Fully equipped;;New electrical installation Internet Cable television;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;190 m;400 m;220 m;270 m;17;;
Vilnius;Pašilaičiai;Girulių g.;165 000 € (2 260 €/m²);;;73 m²;3;2;9;2008;Brick;Central thermostat;Fully equipped;;;Balcony Cellar Parking space;Washing machine Kitchen furniture Dish washer;Code door lock;60 m;940 m;90 m;230 m;"46,72 €/month
~ 0,64 €/m²";;
Vilnius;Pilaitė;M. Mažvydo g.;"Price increased 2,3%
219 900 € (3 665 €/m²)";;;60 m²;3;4;5;2023;Brick;Central thermostat;Fully equipped;A++;Kitchen merged with room;Balcony;Furniture;Steel doors Code door lock;430 m;580 m;360 m;180 m;6;;
Vilnius;Senamiestis;Tauro g.;255 000 € (3 012 €/m²);;;84,66 m²;3;3;5;1959;Brick;Central;Fully equipped;;Internet High ceiling Separate bathroom and WC Cable television;Balcony;Bath;Steel doors Code door lock;400 m;260 m;240 m;190 m;"88,89 €/month
~ 1,05 €/m²";;
Vilnius;Fabijoniškės;Fabijoniškių g.;143 000 € (2 648 €/m²);47;;54 m²;3;3;5;1989;Block house;Central;Fully equipped;;New sewage system New electrical installation;Balcony;Furniture Washing machine Kitchen furniture Stove Bath;Steel doors Code door lock;300 m;150 m;180 m;300 m;"62,10 €/month
~ 1,15 €/m²";;
Vilnius;Naujininkai;Meistrų g.;47 500 € (1 900 €/m²);8;;25 m²;1;3;4;1981 construction, 2022 renovation;Brick;Gas;Fully equipped;;;;;;1 km;1,5 km;1,7 km;110 m;0;;
Vilnius;Šeškinė;Siesikų g.;365 000 € (4 724 €/m²);;;77,26 m²;3;6;7;2020;Brick;Central thermostat;Fully equipped;;High ceiling Kitchen merged with room;Balcony Terrace;Furniture Washing machine Bath;Alarm system Code door lock;590 m;470 m;340 m;140 m;1;;
Vilnius;Žvėrynas;Paribio g.;199 000 € (4 366 €/m²);16;;45,58 m²;2;3;4;2023;Brick;Central thermostat;Partially equipped;A+;New sewage system New electrical installation Kitchen merged with room;Balcony;Floor heating system Recuperation;Steel doors Code door lock;100 m;340 m;470 m;390 m;3;;
Vilnius;Lazdynėliai;Lazdynėlių g.;134 990 € (3 214 €/m²);69;;42 m²;2;3;4;2023;Brick;Central thermostat;Fully equipped;;;;;;300 m;1,6 km;360 m;370 m;0;;
Vilnius;Šnipiškės;Kernavės g.;249 999 € (3 938 €/m²);88;;63,49 m²;3;6;7;2014;Brick;Central thermostat;Fully equipped;;Private yard Internet Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;460 m;240 m;240 m;170 m;"38,73 €/month
~ 0,61 €/m²";;
Vilnius;Šnipiškės;Daugėliškio g.;220 000 € (4 210 €/m²);11;;52,26 m²;2;10;11;2016;Brick;Central thermostat;Fully equipped;;;;;;290 m;450 m;220 m;140 m;"40,76 €/month
~ 0,78 €/m²";;
Vilnius;Lazdynėliai;M. Mironaitės g.;169 900 € (2 938 €/m²);14;;57,82 m²;2;6;6;2008;Brick;Central thermostat;Fully equipped;;;Balcony;Furniture Kitchen furniture Stove Bath;Steel doors Code door lock;610 m;880 m;450 m;140 m;0;;
Vilnius;Rasos;Gardino g.;165 000 € (3 007 €/m²);;;54,87 m²;3;1;3;2007;Brick;Gas;Fully equipped;;Two-floor flat;;;;70 m;310 m;720 m;290 m;6;;
Vilnius;Naujamiestis;Nočios g.;330 000 € (5 346 €/m²);;;61,73 m²;3;3;6;2014;Brick;Central;Fully equipped;;Kitchen merged with room;Balcony;Furniture Washing machine Bath;Steel doors Code door lock;260 m;230 m;40 m;380 m;13;;
Vilnius;Naujamiestis;Sodų g.;230 000 € (3 019 €/m²);;;76,18 m²;3;2;4;1940;Brick;Solid fuel;Not equipped;;High ceiling;Balcony;;Code door lock;170 m;70 m;10 m;100 m;49;;
Vilnius;Fabijoniškės;Fabijoniškių g.;"Price decreased 4,2%
115 000 € (1 717 €/m²)";59;;66,99 m²;3;1;9;1988;Block house;Central;Fully equipped;;Separate bathroom and WC;Storeroom Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;390 m;220 m;240 m;300 m;"89,10 €/month
~ 1,33 €/m²";;
